Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"5/13/20, 12:48:50 PM",1 ft,0:00:01,0.5 mph,755 ft,155° true,N42° 34.507' W83° 11.821',93.2 °F,62
2,"5/13/20, 12:48:51 PM",5 ft,0:00:03,1.1 mph,755 ft,250° true,N42° 34.507' W83° 11.821',93.2 °F,62
3,"5/13/20, 12:48:54 PM",18 ft,0:00:02,6 mph,756 ft,255° true,N42° 34.507' W83° 11.822',93.2 °F,61
4,"5/13/20, 12:48:56 PM",13 ft,0:00:01,9 mph,755 ft,235° true,N42° 34.506' W83° 11.826',93.2 °F,63
5,"5/13/20, 12:48:57 PM",32 ft,0:00:02,11 mph,755 ft,209° true,N42° 34.505' W83° 11.829',93.2 °F,60
6,"5/13/20, 12:48:59 PM",45 ft,0:00:02,15 mph,755 ft,177° true,N42° 34.500' W83° 11.832',93.2 °F,60
7,"5/13/20, 12:49:01 PM",28 ft,0:00:01,19 mph,756 ft,159° true,N42° 34.493' W83° 11.831',93.2 °F,60
8,"5/13/20, 12:49:02 PM",133 ft,0:00:04,23 mph,756 ft,154° true,N42° 34.488' W83° 11.829',93.2 °F,61
9,"5/13/20, 12:49:06 PM",111 ft,0:00:03,25 mph,755 ft,170° true,N42° 34.469' W83° 11.816',93.2 °F,61
10,"5/13/20, 12:49:09 PM",81 ft,0:00:02,28 mph,753 ft,175° true,N42° 34.451' W83° 11.812',93.2 °F,60
11,"5/13/20, 12:49:11 PM",80 ft,0:00:02,27 mph,752 ft,175° true,N42° 34.437' W83° 11.810',93.2 °F,59
12,"5/13/20, 12:49:13 PM",40 ft,0:00:01,27 mph,751 ft,174° true,N42° 34.424' W83° 11.809',93.2 °F,64
13,"5/13/20, 12:49:14 PM",80 ft,0:00:02,27 mph,751 ft,173° true,N42° 34.418' W83° 11.808',93.2 °F,67
14,"5/13/20, 12:49:16 PM",165 ft,0:00:04,28 mph,752 ft,176° true,N42° 34.405' W83° 11.806',93.2 °F,70
15,"5/13/20, 12:49:20 PM",145 ft,0:00:03,33 mph,756 ft,190° true,N42° 34.378' W83° 11.804',93.2 °F,71
16,"5/13/20, 12:49:23 PM",173 ft,0:00:04,29 mph,758 ft,182° true,N42° 34.354' W83° 11.809',93.2 °F,70
17,"5/13/20, 12:49:27 PM",118 ft,0:00:04,20 mph,760 ft,178° true,N42° 34.326' W83° 11.811',93.2 °F,66
18,"5/13/20, 12:49:31 PM",119 ft,0:00:03,27 mph,761 ft,184° true,N42° 34.307' W83° 11.810',93.2 °F,64
19,"5/13/20, 12:49:34 PM",23 ft,0:00:03,5 mph,760 ft,190° true,N42° 34.287' W83° 11.812',93.2 °F,66
20,"5/13/20, 12:49:37 PM",35 ft,0:00:04,6 mph,760 ft,198° true,N42° 34.284' W83° 11.813',93.2 °F,67
21,"5/13/20, 12:49:41 PM",100 ft,0:00:04,17 mph,760 ft,196° true,N42° 34.278' W83° 11.815',93.2 °F,69
22,"5/13/20, 12:49:45 PM",63 ft,0:00:02,22 mph,762 ft,185° true,N42° 34.262' W83° 11.821',93.2 °F,68
23,"5/13/20, 12:49:47 PM",98 ft,0:00:03,22 mph,762 ft,180° true,N42° 34.252' W83° 11.823',93.2 °F,66
24,"5/13/20, 12:49:50 PM",27 ft,0:00:01,19 mph,762 ft,178° true,N42° 34.236' W83° 11.823',93.2 °F,66
25,"5/13/20, 12:49:51 PM",39 ft,0:00:02,13 mph,763 ft,170° true,N42° 34.231' W83° 11.822',95.0 °F,67
26,"5/13/20, 12:49:53 PM",32 ft,0:00:02,11 mph,763 ft,118° true,N42° 34.225' W83° 11.821',95.0 °F,68
27,"5/13/20, 12:49:55 PM",74 ft,0:00:03,17 mph,763 ft,84° true,N42° 34.222' W83° 11.815',95.0 °F,69
28,"5/13/20, 12:49:58 PM",170 ft,0:00:05,23 mph,762 ft,84° true,N42° 34.224' W83° 11.798',95.0 °F,70
29,"5/13/20, 12:50:03 PM",176 ft,0:00:05,24 mph,763 ft,85° true,N42° 34.227' W83° 11.761',95.0 °F,71
30,"5/13/20, 12:50:08 PM",35 ft,0:00:01,24 mph,761 ft,89° true,N42° 34.229' W83° 11.721',95.0 °F,73
31,"5/13/20, 12:50:09 PM",97 ft,0:00:03,22 mph,760 ft,89° true,N42° 34.229' W83° 11.714',95.0 °F,73
32,"5/13/20, 12:50:12 PM",56 ft,0:00:02,19 mph,759 ft,86° true,N42° 34.229' W83° 11.692',95.0 °F,73
33,"5/13/20, 12:50:14 PM",44 ft,0:00:02,15 mph,759 ft,92° true,N42° 34.230' W83° 11.680',95.0 °F,73
34,"5/13/20, 12:50:16 PM",18 ft,0:00:01,12 mph,760 ft,123° true,N42° 34.230' W83° 11.670',95.0 °F,73
35,"5/13/20, 12:50:17 PM",16 ft,0:00:01,11 mph,760 ft,151° true,N42° 34.228' W83° 11.667',95.0 °F,74
36,"5/13/20, 12:50:18 PM",40 ft,0:00:02,14 mph,759 ft,171° true,N42° 34.226' W83° 11.665',95.0 °F,72
37,"5/13/20, 12:50:20 PM",108 ft,0:00:04,18 mph,759 ft,180° true,N42° 34.219' W83° 11.664',95.0 °F,72
38,"5/13/20, 12:50:24 PM",33 ft,0:00:01,23 mph,757 ft,180° true,N42° 34.202' W83° 11.663',95.0 °F,71
39,"5/13/20, 12:50:25 PM",106 ft,0:00:03,24 mph,756 ft,181° true,N42° 34.196' W83° 11.663',95.0 °F,72
