Index,Time,Leg Distance,Leg Time,Leg Speed,Elevation,Leg Course ,Position,Temperature,Heart Rate
1,"6/18/20, 1:18:27 PM",2 ft,0:00:01,1.2 mph,755 ft,152° true,N42° 34.502' W83° 11.830',87.8 °F,75
2,"6/18/20, 1:18:28 PM",2 ft,0:00:03,0.6 mph,755 ft,243° true,N42° 34.501' W83° 11.830',87.8 °F,74
3,"6/18/20, 1:18:31 PM",20 ft,0:00:02,7 mph,755 ft,286° true,N42° 34.501' W83° 11.831',87.8 °F,70
4,"6/18/20, 1:18:33 PM",16 ft,0:00:01,11 mph,754 ft,319° true,N42° 34.502' W83° 11.835',87.8 °F,69
5,"6/18/20, 1:18:34 PM",18 ft,0:00:01,12 mph,754 ft,339° true,N42° 34.504' W83° 11.837',87.8 °F,68
6,"6/18/20, 1:18:35 PM",22 ft,0:00:01,15 mph,754 ft,354° true,N42° 34.507' W83° 11.839',87.8 °F,68
7,"6/18/20, 1:18:36 PM",55 ft,0:00:02,19 mph,755 ft,358° true,N42° 34.510' W83° 11.839',87.8 °F,68
8,"6/18/20, 1:18:38 PM",171 ft,0:00:05,23 mph,755 ft,359° true,N42° 34.520' W83° 11.840',87.8 °F,68
9,"6/18/20, 1:18:43 PM",59 ft,0:00:03,13 mph,759 ft,359° true,N42° 34.548' W83° 11.840',87.8 °F,68
10,"6/18/20, 1:18:46 PM",31 ft,0:00:04,5 mph,759 ft,23° true,N42° 34.557' W83° 11.841',87.8 °F,68
11,"6/18/20, 1:18:50 PM",37 ft,0:00:02,12 mph,758 ft,76° true,N42° 34.562' W83° 11.838',87.8 °F,69
12,"6/18/20, 1:18:52 PM",29 ft,0:00:01,20 mph,758 ft,88° true,N42° 34.563' W83° 11.830',87.8 °F,69
13,"6/18/20, 1:18:53 PM",34 ft,0:00:01,23 mph,758 ft,89° true,N42° 34.563' W83° 11.824',87.8 °F,70
14,"6/18/20, 1:18:54 PM",82 ft,0:00:02,28 mph,758 ft,89° true,N42° 34.564' W83° 11.816',87.8 °F,66
15,"6/18/20, 1:18:56 PM",142 ft,0:00:03,32 mph,759 ft,89° true,N42° 34.564' W83° 11.798',87.8 °F,68
